"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6698","valid username and Invalid password","chromium","2026-05-29","passed","2026-05-29","","loginpage.spec.js","",""
"","6716","Signup test in Playwright","chromium","2026-05-29","passed","2026-05-29","","signup.spec.js","",""
"","8915","Login and Logout test in Playwright","chromium","2026-05-29","passed","2026-05-29","","Logout.spec.js","",""
"","7227","Invalid username and valid password","chromium","2026-05-29","passed","2026-05-29","","loginpage.spec.js","",""
"","6362","Invalid username and Invalid password","chromium","2026-05-29","passed","2026-05-29","","loginpage.spec.js","",""
"","7925","valid username and valid password","chromium","2026-05-29","passed","2026-05-29","","loginpage.spec.js","",""
"","30947","Purchase a Monitor from Monitors","chromium","2026-05-29","passed","2026-05-29","","PurchaseMonitor.spec.js","",""
"","22696","Purchase a laptopn from laptops","chromium","2026-05-29","passed","2026-05-29","","Addtocart.spec.js","",""
"","30593","Purchase a Phone from Phones","chromium","2026-05-29","passed","2026-05-29","","Addphone.spec.js","",""
"","6773","SignupClose button test in Playwright","chromium","2026-05-29","passed","2026-05-29","","signup.spec.js","",""
